user_id,location
172847,"washington, n/a, usa"
68947,"portland, oregon, usa"
242828,"pigeon point road, west indies, trinidad and tobago"
115690,"prince george, british columbia, canada"
77502,"washington, n/a, usa"
270939,"minneapolis, minnesota, usa"
44935,"chelsfield, kent, united kingdom"
165198,"burnaby, british columbia, canada"
26359,"bonny doon, california, usa"
102760,"putnam, connecticut, usa"
49360,"lisbon, oeiras, portugal"
3947,"volente, texas, usa"
84021,"austin, texas, usa"
240626,"palmdale, california, usa"
25970,"newtown, connecticut, usa"
4057,"richmond, north yorkshire, united kingdom"
92208,"sydney, new south wales, australia"
248989,"perth, western australia, australia"
67743,"yate, bristol, united kingdom"
151764,"valencia, valencia, spain"
212211,"brisbane, queensland, australia"
166060,"san pedro, laguna, philippines"
85109,"a estrada, pontevedra, spain"
28146,"manchester, n/a, united kingdom"
227354,"henderson, nevada, usa"
145642,"portland, oregon, usa"
232172,"decatur, georgia, usa"
268819,"hanson, massachusetts, usa"
135355,"canton, connecticut, usa"
186761,"kingswells aberdeen, aberdeenshire, united kingdom"
184452,"burley, nr ringwood, united kingdom"
81583,"sarasota, florida, usa"
277374,"tucson, arizona, usa"
186887,"hopkins, stann creek district, belize"
210836,"upper lake, california, usa"
266655,"fort wayne, indiana, usa"
8643,"gilbert, arizona, usa"
170709,"lex.park, maryland, usa"
11804,"new orleans, louisiana, usa"
220506,"pechina, almería, spain"
9063,"washington, n/a, usa"
200878,"turlock, california, usa"
203452,"rochdale, manchester, united kingdom"
139225,"kailua, hawaii, usa"
272993,"austin, texas, usa"
33869,"austin, texas, usa"
262700,"milwaukee, wisconsin, usa"
68853,"york co., new brunswick, canada"
20239,"brisbane, queensland, australia"
12798,"victoria, british columbia, canada"
192674,"kent, ohio, usa"
181861,"vienna, virginia, usa"
166368,"tegucigalpa, central america, honduras"
212839,"falcon heights, minnesota, usa"
118989,"scituate, rhode island, usa"
18473,"delta, british columbia, canada"
277646,"washington, n/a, usa"
221273,"birmingham, west midlans, united kingdom"
218946,"little bay, newfoundland, canada"
208714,"calico rock, arkansas, usa"
13586,"morelia, michoacan, mexico"
160655,"grove, wantage, united kingdom"
46440,"upholland, west lancs, united kingdom"
141292,"berlin, berlin, germany"
23325,"vitoria, alava, spain"
28242,"green bay, wisconsin, usa"
152762,"hagatna, guam, usa"
109909,"lawford, manningtree, united kingdom"
47339,"ottawa, ontario, canada"
249269,"dunnellon, florida, usa"
110037,"queenstown, otago, new zealand"
225294,"alor star, kedah, malaysia"
102756,"martinez, california, usa"
247288,"cannock, staffordshire, united kingdom"
20516,"northam, bideford, united kingdom"
155734,"toronto, ontario, canada"
21302,"march, cambridgeshire, united kingdom"
183922,"victoria, british columbia, canada"
21375,"nottingham, nottinghamshire, united kingdom"
172827,"syracuse, new york, usa"
80092,"wakefield, west yorkshire, united kingdom"
67986,"pendleton, oregon, usa"
65007,"redmond, oregon, usa"
142682,"colorado springs, colorado, usa"
52504,"new gloucester, maine, usa"
131411,"wellington, n/a, new zealand"
262087,"fredericton, new brunswick, canada"
269302,"flintshire, wales, united kingdom"
205060,"efland, north carolina, usa"
178716,"washington, n/a, usa"
84779,"dartmouth, nova scotia, canada"
202809,"kansas city, missouri, usa"
235097,"milano, lombardia, italy"
261858,"dunedin, otago, new zealand"
37346,"st. paul, minnesota, usa"
47711,"reading, england, united kingdom"
100961,"hitchin, england, united kingdom"
113433,"mobile, alabama, usa"
124250,"barons court, london, united kingdom"
189960,"penzance, cornwall, united kingdom"
77462,"leduc,alberta, canada"
104942,"oklahoma city, oklahoma, usa"
262375,"barham, nsw, australia"
260075,"vienna, vienna, austria"
212653,"n/a, n/a, usa"
165754,"endicott,new york, usa"
269658,"trieste, venezia giulia, italy"
54776,"paris, ile de france, france"
57522,"kingston, australian capital territory, australia"
261143,"calgary, alberta, canada"
67828,"adelaide, south australia, australia"
160784,"san sebastian, guipuzkoa, spain"
75752,"castle douglas, scotland, united kingdom"
239188,"sydney, new south wales, australia"
105227,"mexico city, disrito federal, mexico"
82167,"sydney, new south wales, australia"
171519,"casalgrande, reggio emilia, italy"
232112,"alor star, kedah, malaysia"
254569,"los angeles, california, disgruntled states of america"
99631,"auburn, california, usa"
254489,"prince george, british columbia, canada"
115595,"auckland, n/a, new zealand"
249469,"newbury, berkshire, united kingdom"
262526,"milton regis, kent, united kingdom"
136714,"n/a, n/a, usa"
146513,"yuma, arizona, usa"
272337,"washington, n/a, usa"
150692,"cork, munster, ireland"
156788,"montreal, quebec, canada"
179728,"brentwood bay, british columbia, canada"
269037,"washington, n/a, usa"
202347,"seba beach, alberta, canada"
278215,"nelson, motueka, new zealand"
245812,"canberra, australian capital territory, australia"
