,user_id,location,age
36879,151764,"la eliana, valencia, n/a, spain",20.0
37215,212211,"the gap, brisbane, queensland, australia",53.0
37455,166060,"san pedro, laguna, n/a, philippines",13.0
37930,85109,"valoira, a estrada, pontevedra, galiza, spain",21.0
38727,28146,"manchester, england, n/a, united kingdom",30.0
39257,267763,"omaha,, nebraska, usa",
39340,227354,"henderson, nevada, nevada, usa",55.0
39403,145642,"portland, or, oregon, usa",
39477,232172,"decatur, ga, georgia, usa",31.0
40218,112315,"keaau,, ,",53.0
40483,268819,"hanson, ma, massachusetts, usa",
40678,135355,"gallery on the green, canton ct, connecticut, usa",
41124,186761,"kingswells aberdeen, uk, aberdeenshire, united kingdom",50.0
41324,184452,"burley, nr ringwood, england, united kingdom",39.0
41603,81583,"sarasota, fl, ,",
41620,277374,"tucson,az 85742, arizona, usa",
41709,186887,"hopkins, stann creek district, belize, c.a.",
41938,210836,"upper lake, ca, california, usa",57.0
41946,88276,"scottsdale,, arizona, usa",
42682,266655,"fort wayne, in, indiana, usa",60.0
42804,17734,"dresden,, ontario, canada",
43653,8643,"gilbert,arizona, arizona, usa",
43810,170709,"lex.park,md, maryland, usa",
44112,11804,"new orleans, french quarter, ,",
44246,220506,"pechina, almería, almería, spain",20.0
44291,9063,"washington, dc, dc, usa",
44309,183224,"whitmore lake,, michigan, usa",
44511,200878,"turlock, ca, california, usa",54.0
44633,203452,"rochdale, greater manchester, england, united kingdom",23.0
44654,169163,"aarhus, jutland,, denmark",55.0
44658,139225,"kailua, oahu, hawaii, usa",
44683,272993,"7793 burnet road, no. 24, austin, usa",62.0
44865,33869,"austin, tx, texas, usa",
44894,193052,"bailey,, colorado, usa",57.0
44990,16562,"edmonton,, alberta, canada",58.0
45270,262700,"milwaukee, wi, il, usa",
45301,68853,"harvey, york co., new brunswick, canada",59.0
45304,89013,"gibsons,, british columbia, canada",43.0
45393,20239,"west end, brisbane, queensland, australia",22.0
45397,200184,"asheville,, n/a, usa",
45544,12798,"victoria, b.c., british columbia, canada",
45554,192674,"kent, ohio, ohio, usa",61.0
46008,181861,"vienna, va, virginia, usa",
46074,23794,"hot springs,, south dakota, usa",62.0
46129,166368,"tegucigalpa, mdc, francisco morazan, honduras",41.0
46555,212839,"falcon heights, mn, minnesota, usa",
46667,103670,"upper nyack,, new york, usa",26.0
47240,118989,"scituate,ri,usa, rhode island, usa",
47462,132053,"fairbanks,, alaska, usa",
47610,18473,"delta, ladner, british columbia, canada",
47844,277646,"washington, dc, dc, usa",36.0
48012,221273,"birmingham, west midlans, uk, united kingdom",28.0
48271,218946,"little bay, pb, newfoundland, canada",62.0
48451,208714,"calico rock, arkansas, arkansas, usa",47.0
48464,208078,"granger,, indiana, usa",48.0
48690,13586,"morelia, michoacan, n/a, mexico",60.0
48821,160655,"grove, wantage, england, united kingdom",36.0
48845,257347,"missoula,, montana, usa",29.0
49051,46440,"upholland, west lancs, england, united kingdom",50.0
49628,141292,"berlin, wannsee, berlin, germany",26.0
49990,23325,"vitoria - gasteiz, país vasco, álava, spain",17.0
50692,25280,"west kingston,, rhode island, usa",45.0
50905,28242,"green bay,wi., wisconsin, usa",
50921,152762,"hagatna, guam, usa, guam",39.0
51435,109909,"lawford, manningtree, england, united kingdom",
51548,94281,"sonoma,, california, usa",58.0
51991,47339,"orleans,ottawa, ontario, canada",
52146,249269,"dunnellon, florida, usa, usa",
52203,110037,"queenstown, new zealand, otago, new zealand",39.0
52242,225294,"alor star, alor star, kedah, malaysia",28.0
52332,16786,"no.berwick,, maine, usa",
52404,212466,"san francisco,, california, usa",64.0
52776,102756,"martinez, ca, california, usa",60.0
52900,247288,"cannock, staffordshire, england, united kingdom",
53590,20516,"northam, bideford, england, united kingdom",59.0
53796,155734,"toronto, montreal, travelling...., british columbia, canada",22.0
53820,21302,"march, cambridgeshire, england, united kingdom",41.0
53835,183922,"victoria, b.c., british columbia, canada",
53852,21375,"beeston,  nottingham, nottinghamshire, united kingdom",69.0
53867,172827,"syracuse, ny, new york, usa",36.0
54411,80092,"wakefield, west yorkshire, england, united kingdom",29.0
54481,67986,"pendleton, or usa, oregon, usa",54.0
54586,65007,"redmond, or, oregon, usa",50.0
54690,142682,"colorado, springs co, colorado, usa",
54804,52504,"new gloucester, me, maine, usa",
54839,131411,"wellington, north island, new zealand, new zealand",
55809,29569,"fairfax,, california, united states",52.0
55836,262087,"fredericton, new bru, new brunswick, canada",
55989,269302,"deeside, flintshire, wales, united kingdom",31.0
56198,205060,"efland, nc 27243, north carolina, usa",29.0
56514,178716,"washington, dc, dc, usa",34.0
56846,84779,"dartmouth, nova scotia, nova scotia, canada",
57050,202809,"kansas city, mo, missouri, usa",
57218,235097,"milan - italy, italy, in europe, italy",
57512,261858,"dunedin, otago, nz, new zealand",48.0
57593,37346,"st. paul, mn, minnesota, usa",
57916,47711,"reading, berks, england, united kingdom",
58118,100961,"hitchin, hertfordshire, england, united kingdom",
58156,113433,"mobile,al, alabama, usa",
58321,124250,"barons court, london, england, united kingdom",23.0
58418,189960,"penzance, cornwall, uk, united kingdom",60.0
58469,77462,"leduc,alberta, alberta, canada",11.0
58487,104942,"okla. city, ok, oklahoma, usa",
58884,262375,"barham, barham, nsw, australia",18.0
58928,260075,"vienna, wien, eu, austria",
59011,212653,"anytown, usa, anystate, usa, usa",
59065,165754,"endicott,ny, new york, usa",64.0
59093,207449,"statesville,, north carolina, usa",71.0
59389,269658,"trieste, trieste, venezia giulia,italy, italy",73.0
59645,54776,"paris, ile de france, paris, france",24.0
60031,57522,"kingston, hobart, tasmania, australia",13.0
60154,58993,"bancroft,, wisconsin, usa",12.0
60269,261143,"calgary, ab, alberta, canada",
60897,67828,"adelaide,holdfastbay, south australia, australia",
61264,160784,"san sebastian/donostia, pais vasco, gipuzkoa, spain",57.0
61609,75752,"douglas, isle of man, n/a, united kingdom",50.0
61723,239188,"neutral bay, sydney, new south wales, australia",18.0
61845,105227,"méxico, d.f., disrito federal, mexico",23.0
62098,82167,"roseville, sydney, new south wales, australia",14.0
62213,171519,"casalgrande, re, ,",26.0
62541,169802,"gillingham, kent,, england",30.0
62544,88656,"rapid city,, south dakota, usa",56.0
62686,232112,"alor star, alor star, kedah, malaysia",
62796,254569,"highland park, los angeles, california, disgruntled states of america",
63142,98183,"creston,, british columbia, canada",70.0
63250,99631,"auburn, ca, california, usa",
63324,254489,"prince george, bc, british columbia, canada",
63707,115595,"pt. chevalier, auckland, n/a, new zealand",55.0
63898,165701,"washington,, dc, usa",
64084,249469,"newbury, berkshire, england, united kingdom",36.0
64205,262526,"milton regis, kent, england, united kingdom",
64254,146430,"horseshoe bay,, texas, usa",
64856,136714,"who knows, i`m on the move, usa now, the world tomorrow",
64899,230218,"harlingen, friesland,, netherlands",74.0
65171,146513,"yuma, az, arizona, usa",
65260,272337,"washington, dc, dc, usa",18.0
65317,150692,"skibbereen, munster, county cork, ireland",49.0
65503,156788,"montreal, montreal,quebec, canada",
66117,178474,"portland,, oregon, usa",58.0
66162,179728,"brentwood bay,  b.c., british columbia, canada",63.0
66260,193931,"vancouver,, bc,, canada",
66469,190238,"rye,, victoria, australia",54.0
66683,247096,"santee,, california, usa",15.0
66751,269037,"seattle, wa, washington, usa",
66770,202347,"seba beach, ab., alberta, canada",
67090,217416,"crivitz,, wisconsin, usa",
67314,229756,"prineville,, oregon, usa",66.0
67584,278215,"nelson, motueka, nz, new zealand",28.0
67586,245812,"canberra, act, australian capital territory, australia",
